Date,City,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kmh,Pressure_hPa,Weather_Condition
2024-02-12,Delhi,30.4,65.3,0.0,5.3,1028.7,Clear
2024-02-13,Delhi,27.8,58.1,0.0,3.6,1000.4,Partly Cloudy
2024-02-14,Delhi,29.8,68.2,0.0,9.7,1034.7,Clear
2024-02-15,Delhi,28.0,68.7,0.0,8.7,1007.7,Clear
2024-02-16,Delhi,31.8,59.1,0.0,3.6,1004.6,Clear
2024-02-17,Delhi,31.6,60.7,0.0,6.9,1010.3,Clear
2024-02-18,Delhi,31.8,55.3,0.0,10.6,1024.9,Clear
2024-02-19,Delhi,28.7,44.2,0.0,8.1,1009.3,Clear
2024-02-20,Delhi,30.2,72.6,0.0,9.0,1017.5,Clear
2024-02-21,Delhi,31.1,58.3,0.0,12.4,1004.8,Clear
2024-02-22,Delhi,31.0,42.3,0.0,8.5,1042.1,Partly Cloudy
2024-02-23,Delhi,26.3,71.3,0.0,7.1,1003.2,Clear
2024-02-24,Delhi,35.6,61.9,0.0,11.8,1031.9,Partly Cloudy
2024-02-25,Delhi,34.6,53.4,0.0,6.5,995.1,Clear
2024-02-26,Delhi,26.1,57.9,0.0,6.2,1012.4,Clear
2024-02-27,Delhi,33.8,68.3,0.0,3.7,1001.2,Clear
2024-02-28,Delhi,35.3,60.5,0.0,1.9,1008.0,Clear
2024-02-29,Delhi,27.9,54.6,0.0,7.4,1007.5,Clear
2024-03-01,Delhi,32.1,66.9,2.3,9.3,1009.7,Cloudy
2024-03-02,Delhi,35.6,40.1,0.0,6.0,1035.2,Clear
2024-03-03,Delhi,33.0,44.1,0.0,4.8,1009.9,Clear
2024-03-04,Delhi,36.0,49.6,0.0,3.4,1005.7,Clear
2024-03-05,Delhi,30.8,68.6,0.0,5.5,1016.1,Partly Cloudy
2024-03-06,Delhi,37.0,45.2,0.0,10.5,1004.8,Partly Cloudy
2024-03-07,Delhi,32.1,52.1,0.0,4.1,1019.4,Clear
2024-03-08,Delhi,32.4,62.8,0.0,9.2,996.7,Partly Cloudy
2024-03-09,Delhi,31.4,73.3,0.0,3.7,993.4,Clear
2024-03-10,Delhi,29.9,49.3,0.0,10.1,1004.5,Partly Cloudy
2024-03-11,Delhi,32.9,74.2,3.7,10.0,1014.9,Cloudy
2024-03-12,Delhi,31.1,54.8,0.0,5.5,1007.4,Partly Cloudy
2024-03-13,Delhi,38.6,56.9,0.0,9.8,1001.2,Clear
2024-03-14,Delhi,30.3,76.1,0.0,7.8,1008.6,Clear
2024-03-15,Delhi,29.6,68.9,0.2,6.3,991.2,Cloudy
2024-03-16,Delhi,33.8,65.0,0.0,4.6,1032.8,Partly Cloudy
2024-03-17,Delhi,33.9,55.6,0.0,2.5,1011.2,Partly Cloudy
2024-03-18,Delhi,24.4,57.5,0.0,7.9,1013.9,Partly Cloudy
2024-03-19,Delhi,36.0,49.3,3.4,8.8,1006.8,Cloudy
2024-03-20,Delhi,37.0,75.1,0.0,3.1,999.3,Clear
2024-03-21,Delhi,35.1,81.7,2.4,9.5,1020.0,Cloudy
2024-03-22,Delhi,27.6,45.1,0.0,13.1,1018.2,Clear
2024-03-23,Delhi,32.8,48.4,0.0,3.2,1039.8,Partly Cloudy
2024-03-24,Delhi,31.5,68.2,0.0,5.6,1005.6,Partly Cloudy
2024-03-25,Delhi,30.0,55.9,0.0,9.9,1026.4,Partly Cloudy
2024-03-26,Delhi,37.3,64.7,6.3,8.0,1014.5,Cloudy
2024-03-27,Delhi,26.7,63.1,0.0,10.1,999.8,Partly Cloudy
2024-03-28,Delhi,28.6,66.2,0.0,6.9,1001.2,Clear
2024-03-29,Delhi,31.5,62.6,0.0,8.7,1022.0,Partly Cloudy
2024-03-30,Delhi,30.2,48.2,0.0,8.6,1035.7,Clear
2024-03-31,Delhi,33.4,75.3,0.0,9.6,1017.9,Partly Cloudy
2024-04-01,Delhi,26.2,56.7,0.0,6.4,993.7,Clear
2024-04-02,Delhi,30.9,62.4,0.0,7.3,1017.5,Partly Cloudy
2024-04-03,Delhi,38.8,41.9,25.0,7.5,1004.6,Thunderstorm
2024-04-04,Delhi,33.4,68.6,0.0,6.4,1009.7,Clear
2024-04-05,Delhi,29.1,57.4,0.0,8.0,1019.0,Clear
2024-04-06,Delhi,36.0,69.8,0.0,7.4,1023.1,Clear
2024-04-07,Delhi,39.8,46.9,0.0,1.8,999.6,Clear
2024-04-08,Delhi,39.1,55.1,0.0,7.8,1024.8,Partly Cloudy
2024-04-09,Delhi,29.6,58.8,0.0,8.5,1018.2,Clear
2024-04-10,Delhi,34.6,68.7,0.0,8.9,1011.0,Clear
2024-04-11,Delhi,36.7,49.1,0.0,7.5,1021.6,Partly Cloudy
2024-04-12,Delhi,30.4,52.7,0.0,3.3,1012.2,Partly Cloudy
2024-04-13,Delhi,33.0,53.0,0.0,8.8,1002.7,Clear
2024-04-14,Delhi,33.7,62.5,7.0,7.0,1027.3,Cloudy
2024-04-15,Delhi,36.4,41.1,0.0,9.3,1012.9,Clear
2024-04-16,Delhi,36.2,74.9,0.0,11.1,1022.7,Clear
2024-04-17,Delhi,33.5,62.7,0.0,10.0,1003.4,Partly Cloudy
2024-04-18,Delhi,31.2,62.5,0.0,8.5,1029.2,Partly Cloudy
2024-04-19,Delhi,31.3,69.6,0.0,8.1,999.4,Clear
2024-04-20,Delhi,30.7,45.3,0.0,8.2,1012.6,Clear
2024-04-21,Delhi,35.1,44.2,0.0,15.8,1033.7,Clear
2024-04-22,Delhi,29.9,57.4,0.0,7.4,1005.2,Partly Cloudy
2024-04-23,Delhi,31.3,79.4,0.0,10.1,1000.1,Partly Cloudy
2024-04-24,Delhi,31.8,57.6,0.0,9.2,1035.7,Clear
2024-04-25,Delhi,32.2,69.3,0.0,4.4,1022.4,Clear
2024-04-26,Delhi,35.0,66.1,0.0,5.0,1026.6,Clear
2024-04-27,Delhi,32.1,68.1,0.0,11.6,1003.5,Partly Cloudy
2024-04-28,Delhi,33.1,87.1,0.0,10.2,1018.6,Cloudy
2024-04-29,Delhi,30.3,61.1,0.0,6.5,1021.6,Clear
2024-04-30,Delhi,35.2,59.3,0.0,5.1,1015.9,Clear
2024-05-01,Delhi,29.9,72.6,0.0,11.4,1014.7,Partly Cloudy
2024-05-02,Delhi,37.9,82.3,0.0,7.9,1012.1,Foggy
2024-05-03,Delhi,33.2,93.6,0.0,6.6,996.8,Cloudy
2024-05-04,Delhi,29.1,78.8,0.0,6.5,1006.9,Partly Cloudy
2024-05-05,Delhi,28.1,62.4,0.0,11.3,1012.3,Clear
2024-05-06,Delhi,32.0,75.8,0.0,8.1,1008.8,Clear
2024-05-07,Delhi,31.3,79.6,0.0,8.5,1000.8,Clear
2024-05-08,Delhi,30.7,83.8,0.0,12.5,1017.2,Cloudy
2024-05-09,Delhi,39.7,69.8,0.0,13.4,988.3,Partly Cloudy
2024-05-10,Delhi,28.9,75.1,0.0,11.7,1009.0,Partly Cloudy
2024-05-11,Delhi,30.4,65.0,0.0,5.2,1012.6,Clear
2024-05-12,Delhi,31.8,100.0,13.6,5.8,1012.7,Thunderstorm
2024-05-13,Delhi,31.7,78.9,0.0,14.2,1028.7,Partly Cloudy
2024-05-14,Delhi,26.6,59.0,0.0,8.0,1009.9,Clear
2024-05-15,Delhi,25.8,88.1,0.0,9.6,1024.7,Cloudy
2024-05-16,Delhi,34.1,80.8,0.0,5.9,1034.7,Cloudy
2024-05-17,Delhi,29.3,66.6,0.0,2.6,1027.1,Clear
2024-05-18,Delhi,29.8,96.3,0.0,6.5,1019.4,Foggy
2024-05-19,Delhi,35.2,74.3,0.0,3.8,1028.8,Partly Cloudy
2024-05-20,Delhi,33.6,73.6,0.0,5.3,1018.3,Clear
2024-05-21,Delhi,29.2,83.2,0.0,12.6,1008.2,Cloudy
2024-05-22,Delhi,28.3,91.9,0.0,4.0,1008.4,Cloudy
2024-05-23,Delhi,29.2,83.8,0.0,5.1,998.5,Cloudy
2024-05-24,Delhi,30.8,75.9,0.0,7.2,1032.0,Partly Cloudy
2024-05-25,Delhi,32.8,70.4,0.0,2.9,1011.7,Partly Cloudy
2024-05-26,Delhi,27.8,77.1,0.0,4.1,1013.1,Partly Cloudy
2024-05-27,Delhi,28.3,84.2,0.0,9.1,1024.4,Foggy
2024-05-28,Delhi,31.5,65.5,0.0,4.7,1020.5,Clear
2024-05-29,Delhi,26.9,74.0,0.0,12.6,1013.6,Clear
2024-05-30,Delhi,29.3,71.1,0.0,4.5,1017.5,Clear
2024-05-31,Delhi,29.3,76.6,0.0,9.2,1026.9,Clear
2024-06-01,Delhi,31.7,72.8,0.0,7.6,1008.4,Clear
2024-06-02,Delhi,25.8,67.2,0.0,4.3,1013.1,Clear
2024-06-03,Delhi,32.1,79.6,12.4,11.1,1044.7,Rainy
2024-06-04,Delhi,22.5,84.4,15.7,7.5,1015.1,Rainy
2024-06-05,Delhi,29.0,72.2,5.2,9.5,1032.7,Cloudy
2024-06-06,Delhi,28.0,78.6,1.2,1.1,1001.7,Cloudy
2024-06-07,Delhi,28.3,85.0,2.6,5.3,1024.5,Cloudy
2024-06-08,Delhi,26.4,62.3,0.0,4.5,1005.6,Partly Cloudy
2024-06-09,Delhi,27.2,88.5,0.0,10.2,1020.1,Cloudy
2024-06-10,Delhi,29.2,88.3,0.0,6.7,1001.1,Cloudy
2024-06-11,Delhi,26.0,88.6,0.3,7.4,1015.3,Cloudy
2024-06-12,Delhi,24.7,98.3,0.0,6.7,1005.8,Foggy
2024-06-13,Delhi,31.5,69.4,4.7,3.6,1006.1,Cloudy
2024-06-14,Delhi,23.1,63.4,8.0,6.9,1014.4,Cloudy
2024-06-15,Delhi,22.6,56.2,0.0,8.2,1024.7,Clear
2024-06-16,Delhi,22.3,72.1,0.0,10.2,1015.7,Partly Cloudy
2024-06-17,Delhi,25.9,65.3,22.4,7.8,1004.9,Rainy
2024-06-18,Delhi,26.6,76.7,0.0,9.8,998.5,Clear
2024-06-19,Delhi,22.0,75.8,0.0,3.7,1008.4,Partly Cloudy
2024-06-20,Delhi,23.0,71.5,0.0,10.4,1021.5,Clear
2024-06-21,Delhi,24.0,74.4,0.0,7.3,1036.2,Clear
2024-06-22,Delhi,26.7,67.8,5.0,6.9,1000.4,Cloudy
2024-06-23,Delhi,30.4,79.4,0.0,12.4,1014.0,Clear
2024-06-24,Delhi,25.3,71.8,3.2,8.4,999.8,Cloudy
2024-06-25,Delhi,26.4,98.4,10.2,10.5,1010.2,Thunderstorm
2024-06-26,Delhi,20.6,82.0,0.0,3.7,995.1,Cloudy
2024-06-27,Delhi,28.2,72.4,0.0,4.2,1018.5,Clear
2024-06-28,Delhi,26.8,77.6,0.0,7.0,1008.9,Clear
2024-06-29,Delhi,23.5,74.3,0.0,7.4,1014.6,Clear
2024-06-30,Delhi,23.4,72.1,0.0,7.9,1005.8,Clear
2024-07-01,Delhi,27.9,77.0,2.9,4.7,1009.5,Cloudy
2024-07-02,Delhi,23.5,83.0,0.0,9.6,1012.2,Foggy
2024-07-03,Delhi,23.9,100.0,0.9,6.6,1018.4,Cloudy
2024-07-04,Delhi,22.5,87.1,0.0,8.4,1022.4,Cloudy
2024-07-05,Delhi,23.1,80.2,0.0,6.6,991.1,Cloudy
2024-07-06,Delhi,26.9,78.3,11.1,9.2,1017.9,Thunderstorm
2024-07-07,Delhi,25.7,70.5,1.6,3.0,1012.2,Cloudy
2024-07-08,Delhi,22.4,85.2,0.0,6.9,1025.1,Cloudy
2024-07-09,Delhi,19.5,79.4,4.4,5.2,1013.4,Cloudy
2024-07-10,Delhi,28.6,82.9,0.0,8.4,1013.7,Cloudy
2024-07-11,Delhi,24.6,78.5,0.0,2.0,999.5,Clear
2024-07-12,Delhi,15.2,70.6,0.0,5.6,1004.5,Partly Cloudy
2024-07-13,Delhi,23.8,77.8,0.0,8.5,1001.0,Clear
2024-07-14,Delhi,25.0,95.1,6.0,9.7,1015.5,Cloudy
2024-07-15,Delhi,22.6,82.8,4.0,7.4,1012.4,Cloudy
2024-07-16,Delhi,32.1,67.9,25.2,11.6,1030.9,Rainy
2024-07-17,Delhi,23.9,87.5,0.0,6.2,1024.7,Cloudy
2024-07-18,Delhi,21.7,84.1,0.0,9.9,1034.9,Cloudy
2024-07-19,Delhi,19.8,43.8,0.1,4.0,1020.4,Cloudy
2024-07-20,Delhi,21.5,73.5,1.0,5.1,1005.9,Cloudy
2024-07-21,Delhi,25.9,73.3,1.0,0.2,1034.8,Cloudy
2024-07-22,Delhi,24.9,64.0,0.0,4.8,1012.0,Partly Cloudy
2024-07-23,Delhi,21.2,71.0,10.0,8.5,1008.3,Thunderstorm
2024-07-24,Delhi,19.8,72.5,0.0,5.9,1012.1,Partly Cloudy
2024-07-25,Delhi,25.8,73.9,0.0,10.0,1024.1,Clear
2024-07-26,Delhi,22.7,65.7,0.0,12.5,1024.3,Partly Cloudy
2024-07-27,Delhi,18.8,67.9,23.3,6.0,1003.5,Rainy
2024-07-28,Delhi,16.6,87.7,0.0,7.3,1005.4,Cloudy
2024-07-29,Delhi,20.2,72.4,0.0,2.7,1001.9,Clear
2024-07-30,Delhi,21.0,86.9,3.2,12.0,1008.6,Cloudy
2024-07-31,Delhi,21.0,59.3,0.0,9.7,1013.5,Clear
2024-08-01,Delhi,24.7,76.5,0.9,7.9,1014.8,Cloudy
2024-08-02,Delhi,25.4,67.6,0.0,13.1,996.8,Partly Cloudy
2024-08-03,Delhi,21.5,69.7,18.3,11.5,1008.4,Rainy
2024-08-04,Delhi,19.6,77.3,0.0,11.5,1015.7,Clear
2024-08-05,Delhi,20.6,78.6,10.1,9.8,1023.2,Rainy
2024-08-06,Delhi,19.0,66.1,0.0,9.7,1024.4,Clear
2024-08-07,Delhi,22.0,90.6,7.4,7.4,1032.1,Cloudy
2024-08-08,Delhi,24.3,70.5,15.2,10.4,1009.8,Rainy
2024-08-09,Delhi,21.3,83.3,2.5,10.5,997.8,Cloudy
2024-08-10,Delhi,23.9,53.0,0.0,3.5,1016.0,Partly Cloudy
2024-08-11,Delhi,23.3,72.4,14.4,8.2,995.5,Thunderstorm
2024-08-12,Delhi,18.1,66.4,0.0,7.9,1009.2,Clear
2024-08-13,Delhi,13.7,80.3,10.4,10.2,1033.3,Rainy
2024-08-14,Delhi,20.5,64.4,0.0,12.2,1009.1,Clear
2024-08-15,Delhi,17.7,73.7,0.0,5.1,1028.4,Clear
2024-08-16,Delhi,19.7,87.6,0.0,7.1,1024.4,Foggy
2024-08-17,Delhi,27.3,78.0,4.8,11.8,1000.9,Cloudy
2024-08-18,Delhi,14.7,66.1,0.0,9.2,1027.3,Clear
2024-08-19,Delhi,24.1,69.3,0.0,7.1,992.4,Partly Cloudy
2024-08-20,Delhi,25.3,80.9,0.0,7.2,1003.9,Cloudy
2024-08-21,Delhi,14.1,79.6,0.0,10.8,1009.2,Partly Cloudy
2024-08-22,Delhi,16.4,71.9,0.0,8.2,1024.7,Clear
2024-08-23,Delhi,17.8,57.9,7.6,6.9,1018.0,Cloudy
2024-08-24,Delhi,22.7,67.9,0.0,2.5,999.4,Partly Cloudy
2024-08-25,Delhi,18.6,71.0,0.0,6.7,1021.5,Partly Cloudy
2024-08-26,Delhi,19.2,61.8,0.0,13.1,992.6,Partly Cloudy
2024-08-27,Delhi,21.7,66.8,0.0,3.3,1030.2,Clear
2024-08-28,Delhi,12.8,74.0,6.6,11.7,996.7,Cloudy
2024-08-29,Delhi,16.8,70.8,2.5,9.2,1014.1,Cloudy
2024-08-30,Delhi,13.9,82.4,0.0,12.4,995.4,Foggy
2024-08-31,Delhi,20.5,91.4,0.0,13.9,1009.6,Cloudy
2024-09-01,Delhi,20.8,83.6,11.8,7.9,1008.7,Thunderstorm
2024-09-02,Delhi,18.8,67.0,0.0,14.8,1016.4,Clear
2024-09-03,Delhi,16.5,85.1,2.9,7.3,1006.1,Cloudy
2024-09-04,Delhi,21.9,64.4,0.0,3.7,1008.9,Clear
2024-09-05,Delhi,15.6,83.3,0.0,5.0,1022.3,Cloudy
2024-09-06,Delhi,13.4,67.4,2.8,8.9,1021.7,Cloudy
2024-09-07,Delhi,17.1,73.4,12.1,8.2,1040.6,Thunderstorm
2024-09-08,Delhi,14.4,94.0,1.6,16.4,1012.2,Cloudy
2024-09-09,Delhi,15.6,78.3,0.0,9.7,993.1,Clear
2024-09-10,Delhi,17.4,64.6,0.1,5.9,1020.5,Cloudy
2024-09-11,Delhi,11.6,67.0,0.0,4.3,993.1,Partly Cloudy
2024-09-12,Delhi,19.4,78.7,0.0,5.9,1020.4,Partly Cloudy
2024-09-13,Delhi,19.7,89.3,0.0,11.4,982.0,Cloudy
2024-09-14,Delhi,16.6,68.3,0.0,7.7,1000.7,Clear
2024-09-15,Delhi,15.7,77.8,0.0,4.1,1016.6,Partly Cloudy
2024-09-16,Delhi,16.8,76.5,7.7,8.6,1030.1,Cloudy
2024-09-17,Delhi,17.4,64.2,0.0,10.4,996.7,Clear
2024-09-18,Delhi,19.8,76.8,0.0,8.6,999.6,Clear
2024-09-19,Delhi,17.3,80.6,0.0,6.8,1030.6,Cloudy
2024-09-20,Delhi,18.1,72.2,0.0,8.1,1001.6,Partly Cloudy
2024-09-21,Delhi,22.9,60.3,0.0,9.7,1017.5,Partly Cloudy
2024-09-22,Delhi,22.4,69.6,0.0,11.2,999.7,Partly Cloudy
2024-09-23,Delhi,19.0,88.5,0.6,12.1,1006.6,Cloudy
2024-09-24,Delhi,21.5,83.6,4.7,10.4,1009.9,Cloudy
2024-09-25,Delhi,13.6,69.3,0.0,9.7,1001.9,Clear
2024-09-26,Delhi,16.1,80.8,0.0,7.2,1021.2,Cloudy
2024-09-27,Delhi,13.4,92.3,0.0,8.4,1017.9,Cloudy
2024-09-28,Delhi,22.7,73.2,6.2,13.1,1021.7,Cloudy
2024-09-29,Delhi,22.1,89.6,0.0,8.9,1026.2,Foggy
2024-09-30,Delhi,15.6,80.3,11.3,10.7,1025.4,Rainy
2024-10-01,Delhi,20.5,73.3,0.0,7.6,1020.5,Partly Cloudy
2024-10-02,Delhi,19.7,46.7,0.0,11.9,1009.9,Partly Cloudy
2024-10-03,Delhi,19.7,66.2,0.0,5.6,1000.8,Clear
2024-10-04,Delhi,19.9,61.3,0.0,2.5,1010.2,Partly Cloudy
2024-10-05,Delhi,20.2,73.7,0.0,7.8,1009.9,Partly Cloudy
2024-10-06,Delhi,18.3,65.1,0.0,9.6,1015.5,Clear
2024-10-07,Delhi,16.4,65.0,0.0,8.6,1022.7,Clear
2024-10-08,Delhi,16.7,53.6,0.0,10.3,1021.3,Clear
2024-10-09,Delhi,19.2,71.9,0.0,11.2,1018.4,Partly Cloudy
2024-10-10,Delhi,18.8,68.1,0.0,2.8,1015.1,Partly Cloudy
2024-10-11,Delhi,23.0,68.3,0.0,8.8,1018.4,Clear
2024-10-12,Delhi,16.2,53.4,0.0,8.6,1012.0,Partly Cloudy
2024-10-13,Delhi,17.6,64.7,0.0,18.0,1017.5,Partly Cloudy
2024-10-14,Delhi,18.9,45.1,0.0,7.3,993.0,Partly Cloudy
2024-10-15,Delhi,18.1,59.6,3.1,8.6,1013.6,Cloudy
2024-10-16,Delhi,14.9,57.3,0.0,9.8,1024.3,Clear
2024-10-17,Delhi,18.1,56.7,0.0,5.2,1014.6,Partly Cloudy
2024-10-18,Delhi,18.2,47.4,0.0,6.4,1007.3,Clear
2024-10-19,Delhi,18.5,58.2,35.1,11.8,1031.7,Rainy
2024-10-20,Delhi,22.0,59.7,0.0,7.5,1026.9,Clear
2024-10-21,Delhi,23.5,56.5,0.1,6.2,1000.9,Cloudy
2024-10-22,Delhi,18.9,75.1,0.0,7.6,1008.4,Clear
2024-10-23,Delhi,11.6,71.7,11.5,5.3,1024.9,Rainy
2024-10-24,Delhi,17.4,50.9,7.7,6.2,1011.3,Cloudy
2024-10-25,Delhi,22.7,74.1,7.4,7.4,1022.3,Cloudy
2024-10-26,Delhi,22.5,61.6,0.0,6.5,1027.4,Clear
2024-10-27,Delhi,15.2,49.5,0.0,13.7,1027.2,Partly Cloudy
2024-10-28,Delhi,20.7,58.1,0.0,6.9,1003.6,Clear
2024-10-29,Delhi,19.8,51.5,0.0,5.2,1019.1,Partly Cloudy
2024-10-30,Delhi,17.4,39.7,0.0,5.3,1013.3,Clear
2024-10-31,Delhi,19.2,53.3,0.0,7.5,1029.1,Partly Cloudy
2024-11-01,Delhi,22.4,70.9,0.0,8.9,1020.7,Clear
2024-11-02,Delhi,17.9,59.8,0.0,7.3,1022.1,Clear
2024-11-03,Delhi,19.2,60.0,0.0,13.5,1032.0,Clear
2024-11-04,Delhi,21.4,85.4,0.0,8.9,1016.8,Cloudy
2024-11-05,Delhi,19.8,59.3,0.0,12.2,1002.3,Clear
2024-11-06,Delhi,22.1,57.7,0.0,5.0,1021.4,Clear
2024-11-07,Delhi,16.0,57.5,23.4,8.7,997.3,Rainy
2024-11-08,Delhi,21.5,64.5,0.0,5.8,1003.6,Partly Cloudy
2024-11-09,Delhi,21.0,53.0,0.0,7.3,998.4,Partly Cloudy
2024-11-10,Delhi,18.6,55.3,0.0,8.1,1020.8,Partly Cloudy
2024-11-11,Delhi,19.8,75.6,0.0,6.7,1020.0,Clear
2024-11-12,Delhi,21.4,38.9,0.0,8.7,1024.1,Partly Cloudy
2024-11-13,Delhi,15.1,58.6,0.0,7.9,994.5,Clear
2024-11-14,Delhi,19.6,64.9,0.0,7.7,1019.5,Clear
2024-11-15,Delhi,17.0,63.3,0.0,5.7,1020.5,Clear
2024-11-16,Delhi,14.6,64.2,0.0,7.9,1021.4,Clear
2024-11-17,Delhi,25.4,75.2,0.0,9.0,988.8,Partly Cloudy
2024-11-18,Delhi,21.2,70.3,0.0,5.1,1028.8,Partly Cloudy
2024-11-19,Delhi,23.7,65.3,0.0,8.7,1019.2,Partly Cloudy
2024-11-20,Delhi,21.5,56.1,0.0,7.2,1033.0,Partly Cloudy
2024-11-21,Delhi,21.7,54.0,0.0,6.7,1012.7,Clear
2024-11-22,Delhi,22.5,56.6,0.0,9.6,1001.4,Partly Cloudy
2024-11-23,Delhi,22.3,73.9,4.1,12.7,1017.7,Cloudy
2024-11-24,Delhi,18.9,49.2,0.0,10.3,1012.5,Clear
2024-11-25,Delhi,20.0,61.4,0.0,9.1,1008.2,Clear
2024-11-26,Delhi,20.5,60.6,0.0,10.5,1000.5,Partly Cloudy
2024-11-27,Delhi,17.6,49.2,0.0,9.7,994.3,Clear
2024-11-28,Delhi,21.0,69.4,0.0,3.6,1027.8,Partly Cloudy
2024-11-29,Delhi,20.7,52.8,0.0,4.6,995.8,Partly Cloudy
2024-11-30,Delhi,22.4,41.4,0.0,3.6,1016.1,Partly Cloudy
2024-12-01,Delhi,25.1,65.3,0.0,7.2,1027.6,Clear
2024-12-02,Delhi,17.7,74.2,0.0,5.1,1013.7,Partly Cloudy
2024-12-03,Delhi,21.9,63.2,0.0,1.5,1009.6,Partly Cloudy
2024-12-04,Delhi,14.5,46.1,0.0,0.9,1003.8,Clear
2024-12-05,Delhi,15.5,36.6,0.0,10.3,1020.6,Partly Cloudy
2024-12-06,Delhi,28.8,48.3,0.0,8.8,1018.6,Clear
2024-12-07,Delhi,21.4,60.8,0.0,0.6,995.1,Clear
2024-12-08,Delhi,24.1,48.9,0.0,4.4,1004.8,Clear
2024-12-09,Delhi,21.6,61.0,0.0,3.0,1005.3,Partly Cloudy
2024-12-10,Delhi,21.2,57.6,0.0,8.7,1019.9,Clear
2024-12-11,Delhi,20.2,51.7,12.4,12.3,1023.1,Rainy
2024-12-12,Delhi,27.8,59.5,0.0,6.0,1007.2,Partly Cloudy
2024-12-13,Delhi,17.4,52.4,0.0,11.0,1020.1,Partly Cloudy
2024-12-14,Delhi,21.1,83.7,0.0,8.3,1025.7,Foggy
2024-12-15,Delhi,25.4,84.0,0.0,6.8,1010.4,Cloudy
2024-12-16,Delhi,20.0,71.8,0.0,11.4,1001.6,Clear
2024-12-17,Delhi,27.1,51.9,0.0,3.3,1032.9,Clear
2024-12-18,Delhi,20.8,60.8,0.0,6.9,1004.4,Partly Cloudy
2024-12-19,Delhi,23.3,67.3,0.0,9.8,1003.5,Clear
2024-12-20,Delhi,22.4,69.5,0.0,5.6,1018.3,Clear
2024-12-21,Delhi,21.2,68.1,0.0,5.1,1000.5,Clear
2024-12-22,Delhi,26.1,60.3,0.0,10.4,995.9,Clear
